"pose_index","timestamp","yaw_deg","x","y","z","rx","ry","rz","data_file","info_file","log_folder"
"23","2025-08-14T00:52:47-05:00","-3.0","0.002838607149655303","-0.4666960063110711","0.979930921944557","-0.06107916873551348","2.1992818215214167","-2.1933782753606637","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005219.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005219.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005219"
"24","2025-08-14T00:53:17-05:00","-2.0","0.002851351689944319","-0.46670249193348934","0.979928967734387","-0.042105622631776154","2.2082236185306097","-2.202330730437074","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005249.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005249.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005249"
"25","2025-08-14T00:53:47-05:00","-1.0","0.0028689409542874862","-0.4667321309991099","0.9799109886342314","-0.02302527868820639","2.217126683176869","-2.211205056673617","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005319.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005319.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005319"
"26","2025-08-14T00:54:17-05:00","0.0","0.002857964599875103","-0.46672378921005914","0.9799095115259527","0.003725948911882583","-2.222853146391746","2.216977392053141","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005350.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005350.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005350"
"27","2025-08-14T00:54:47-05:00","1.0","0.002844179792203945","-0.46671956777032514","0.9799183235268213","-0.015601643478214048","-2.214022638254416","2.208278828209422","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005420.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005420.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005420"
"28","2025-08-14T00:55:17-05:00","2.0","0.0028485301918499397","-0.4667390357151363","0.9798958344500225","-0.03471086170804703","-2.2051551814257224","2.1993788217277275","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005450.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005450.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005450"
"29","2025-08-14T00:55:47-05:00","3.0","0.002852629685146553","-0.46672763719538357","0.9799008681068352","-0.053754515256933956","-2.1961974685553383","2.1905643539755806","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005520.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005520.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005520"
"30","2025-08-14T00:56:17-05:00","4.0","0.002890407917980141","-0.46676528384649585","0.9798805591598382","-0.07247425431351277","-2.1871680761385415","2.181487216317801","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005550.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005550.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005550"
"31","2025-08-14T00:56:48-05:00","5.0","0.002876582638011214","-0.4667519498846764","0.9798902018728163","-0.09116368657898254","-2.178003863918735","2.1724715470726403","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005620.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005620.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005620"
"32","2025-08-14T00:57:18-05:00","6.0","0.002866296480230769","-0.46672562481615554","0.9799021113645454","-0.10969982559862211","-2.1688029450696793","2.163403967415078","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005650.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005650.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005650"
"33","2025-08-14T00:57:48-05:00","7.0","0.0028454372694239685","-0.4667042261343804","0.9799045960562204","-0.12813815747066212","-2.1595161542791863","2.1543000262126664","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005721.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005721.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005721"
"34","2025-08-14T00:58:18-05:00","8.0","0.002869346911217204","-0.46674230321358173","0.9798930120938835","-0.1463602443173564","-2.150166815366755","2.144913968197476","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005751.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005751.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005751"
"35","2025-08-14T00:58:48-05:00","9.0","0.002846446521264607","-0.46672130233536213","0.9798959567503411","-0.1645038657911465","-2.1407122258822118","2.1356292127987184","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005821.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005821.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005821"
"36","2025-08-14T00:59:19-05:00","10.0","0.002831939682483315","-0.4667020638934911","0.9799080829113911","-0.1823863925487631","-2.131195034163634","2.1262110180479015","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005851.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005851.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005851"
